2025-06-20 14:01:24 | INFO     | LinkChecker_0   | ====== WebDriver manager ======
2025-06-20 14:01:24 | INFO     | LinkChecker_0   | Get LATEST geckodriver version for 139.0 firefox
2025-06-20 14:01:25 | INFO     | LinkChecker_0   | Get LATEST geckodriver version for 139.0 firefox
2025-06-20 14:01:25 | INFO     | LinkChecker_0   | Get LATEST geckodriver version for 139.0 firefox
2025-06-20 14:01:25 | INFO     | LinkChecker_0   | Getting latest mozilla release info for v0.36.0
2025-06-20 14:01:25 | INFO     | LinkChecker_0   | About to download new driver from https://github.com/mozilla/geckodriver/releases/download/v0.36.0/geckodriver-v0.36.0-linux64.tar.gz
2025-06-20 14:01:26 | INFO     | LinkChecker_0   | Driver downloading response is 200
2025-06-20 14:01:26 | INFO     | LinkChecker_0   | Get LATEST geckodriver version for 139.0 firefox
2025-06-20 14:01:27 | INFO     | LinkChecker_0   | Driver has been saved in cache [/home/sws/.wdm/drivers/geckodriver/linux64/v0.36.0]
2025-06-20 14:12:06 | INFO     | MainThread      | Checker initialized with 2 threads for browser 'firefox'
2025-06-20 14:12:06 | INFO     | MainChecker     | 5 links found to process.
2025-06-20 14:12:06 | INFO     | LinkChecker_0   | Worker 1 starting.
2025-06-20 14:12:06 | INFO     | LinkChecker_1   | Worker 2 starting.
2025-06-20 14:12:06 | INFO     | LinkChecker_0   | Setting up WebDriver for account fawazsws2@gmail.com...
2025-06-20 14:12:09 | INFO     | LinkChecker_0   | Attempting full login for fawazsws2@gmail.com...
2025-06-20 14:12:42 | ERROR    | LinkChecker_0   | Unexpected error during login for fawazsws2@gmail.com: Message: 
Traceback (most recent call last):
  File "/home/sws/Desktop/Linkedin Checker/linkedin_checker.py", line 722, in setup_and_login
    WebDriverWait(driver, 30).until(EC.any_of(
  File "/home/sws/Desktop/Linkedin Checker/linkedin_env/lib/python3.12/site-packages/selenium/webdriver/support/wait.py", line 101, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

2025-06-20 14:12:43 | WARNING  | LinkChecker_0   | Account fawazsws2@gmail.com is resting for 30 mins.
2025-06-20 14:12:46 | INFO     | LinkChecker_1   | All available accounts are currently resting. Waiting...
2025-06-20 14:12:50 | INFO     | LinkChecker_0   | All available accounts are currently resting. Waiting...
2025-06-20 14:12:51 | INFO     | LinkChecker_1   | All available accounts are currently resting. Waiting...
2025-06-20 14:12:52 | INFO     | MainThread      | Stopping...
2025-06-20 14:12:55 | INFO     | LinkChecker_0   | Worker 1 exiting.
2025-06-20 14:12:56 | INFO     | LinkChecker_1   | Worker 2 exiting.
2025-06-20 14:12:56 | INFO     | MainChecker     | Checking process was stopped by user.
2025-06-20 16:40:09 | INFO     | MainThread      | Keyboard interrupt received, shutting down.
2025-06-20 16:40:12 | INFO     | MainThread      | Checker initialized with 2 threads for browser 'firefox'
2025-06-20 16:40:12 | INFO     | MainChecker     | 5 links found to process.
2025-06-20 16:40:12 | INFO     | LinkChecker_0   | Worker 1 starting.
2025-06-20 16:40:12 | INFO     | LinkChecker_0   | Setting up WebDriver for account fawazsws2@gmail.com...
2025-06-20 16:40:12 | INFO     | LinkChecker_1   | Worker 2 starting.
2025-06-20 16:40:16 | INFO     | LinkChecker_0   | Attempting full login for fawazsws2@gmail.com...
2025-06-20 16:40:21 | INFO     | LinkChecker_0   | Login successful for fawazsws2@gmail.com.
2025-06-20 16:40:36 | INFO     | LinkChecker_0   | Processing Link 1/5: http://www.linkedin.com/premium/redeem/gift?_ed=B_GyNqi8kb2iLtpM7_LMyf-Z (from Line 1) with fawazsws2@gmail.com
2025-06-20 16:40:39 | WARNING  | LinkChecker_0   | Account fawazsws2@gmail.com is resting for 30 mins.
2025-06-20 16:40:42 | INFO     | LinkChecker_1   | All available accounts are currently resting. Waiting...
2025-06-20 16:40:44 | INFO     | LinkChecker_0   | All available accounts are currently resting. Waiting...
2025-06-20 16:40:47 | INFO     | MainThread      | Stopping...
2025-06-20 16:40:47 | INFO     | LinkChecker_1   | Worker 2 exiting.
2025-06-20 16:40:49 | INFO     | LinkChecker_0   | Worker 1 exiting.
2025-06-20 16:40:49 | INFO     | MainChecker     | Checking process was stopped by user.
2025-06-20 16:46:49 | INFO     | MainThread      | Keyboard interrupt received, shutting down.
2025-06-20 16:46:52 | INFO     | MainThread      | Checker initialized with 2 threads for browser 'firefox'
2025-06-20 16:46:52 | INFO     | MainChecker     | 5 links found to process.
2025-06-20 16:46:52 | INFO     | LinkChecker_0   | Worker 1 starting.
2025-06-20 16:46:52 | INFO     | LinkChecker_0   | Setting up WebDriver for account fawazsws2@gmail.com...
2025-06-20 16:46:52 | INFO     | LinkChecker_1   | Worker 2 starting.
2025-06-20 16:46:56 | INFO     | LinkChecker_0   | Loaded 15 session cookies for fawazsws2@gmail.com.
2025-06-20 16:47:01 | INFO     | LinkChecker_0   | Successfully resumed session for fawazsws2@gmail.com using cookies.
2025-06-20 16:47:16 | INFO     | LinkChecker_0   | Processing Link 1/5: http://www.linkedin.com/premium/redeem/gift?_ed=B_GyNqi8kb2iLtpM7_LMyf-Z (from Line 1) with fawazsws2@gmail.com
2025-06-20 16:47:18 | WARNING  | LinkChecker_0   | FAILURE: Link http://www.linkedin.com/premium/redeem/gift?_ed=B_GyNqi8kb2iLtpM7_LMyf-Z is FAILED. Details: Offer expired, unavailable, or already redeemed.
2025-06-20 16:47:21 | WARNING  | LinkChecker_0   | Session lost for fawazsws2@gmail.com before processing. Re-queuing link.
2025-06-20 16:47:40 | INFO     | MainThread      | Stopping...
2025-06-20 16:47:42 | INFO     | LinkChecker_0   | Worker 1 exiting.
2025-06-20 16:47:42 | INFO     | LinkChecker_1   | Worker 2 exiting.
2025-06-20 16:47:42 | INFO     | MainChecker     | Checking process was stopped by user.
2025-06-20 16:47:42 | INFO     | MainChecker     | Saved detailed JSON results to: /home/sws/Desktop/Linkedin Checker/results/detailed_results_2025-06-20_16-47-42.json
2025-06-20 16:47:49 | INFO     | MainThread      | Checker initialized with 1 threads for browser 'firefox'
2025-06-20 16:47:49 | INFO     | MainChecker     | cleared_state_file_info
2025-06-20 16:47:49 | INFO     | MainChecker     | 5 links found to process.
2025-06-20 16:47:49 | INFO     | LinkChecker_0   | Worker 1 starting.
2025-06-20 16:47:49 | INFO     | LinkChecker_0   | Setting up WebDriver for account fawazsws2@gmail.com...
